[0.000000] (-) TimerEvent: {}
[0.000646] (-) JobUnselected: {'identifier': 'husky_base'}
[0.000668] (-) JobUnselected: {'identifier': 'husky_bringup'}
[0.000677] (-) JobUnselected: {'identifier': 'husky_control'}
[0.000685] (-) JobUnselected: {'identifier': 'husky_description'}
[0.000692] (-) JobUnselected: {'identifier': 'husky_desktop'}
[0.000700] (-) JobUnselected: {'identifier': 'husky_gazebo'}
[0.000713] (-) JobUnselected: {'identifier': 'husky_msgs'}
[0.000724] (-) JobUnselected: {'identifier': 'husky_robot'}
[0.000732] (-) JobUnselected: {'identifier': 'husky_simulator'}
[0.000746] (-) JobUnselected: {'identifier': 'husky_ur3_ignition'}
[0.000767] (-) JobUnselected: {'identifier': 'husky_viz'}
[0.000787] (-) JobUnselected: {'identifier': 'mobile_robotics'}
[0.000809] (-) JobUnselected: {'identifier': 'py_pubsub'}
[0.000826] (-) JobUnselected: {'identifier': 'py_srvcli'}
[0.000846] (-) JobUnselected: {'identifier': 'robotis_manipulator'}
[0.000867] (-) JobUnselected: {'identifier': 'trial_package'}
[0.000886] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.000907] (-) JobUnselected: {'identifier': 'ur'}
[0.000927] (-) JobUnselected: {'identifier': 'ur_bringup'}
[0.000940] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.000955] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.000975] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.000995] (-) JobUnselected: {'identifier': 'ur_description'}
[0.001017] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.001038] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.001057] (-) EventReactorShutdown: {}
