[0.000000] (-) TimerEvent: {}
[0.000086] (-) JobUnselected: {'identifier': 'husky_base'}
[0.000102] (-) JobUnselected: {'identifier': 'husky_bringup'}
[0.000112] (-) JobUnselected: {'identifier': 'husky_control'}
[0.000120] (-) JobUnselected: {'identifier': 'husky_description'}
[0.000130] (-) JobUnselected: {'identifier': 'husky_desktop'}
[0.000140] (-) JobUnselected: {'identifier': 'husky_gazebo'}
[0.000150] (-) JobUnselected: {'identifier': 'husky_msgs'}
[0.000160] (-) JobUnselected: {'identifier': 'husky_robot'}
[0.000168] (-) JobUnselected: {'identifier': 'husky_simulator'}
[0.000176] (-) JobUnselected: {'identifier': 'husky_ur3_ignition'}
[0.000184] (-) JobUnselected: {'identifier': 'husky_viz'}
[0.000192] (-) JobUnselected: {'identifier': 'mobile_robotics'}
[0.000200] (-) JobUnselected: {'identifier': 'py_pubsub'}
[0.000208] (-) JobUnselected: {'identifier': 'py_srvcli'}
[0.000216] (-) JobUnselected: {'identifier': 'robotis_manipulator'}
[0.000224] (-) JobUnselected: {'identifier': 'trial_package'}
[0.000232] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.000240] (-) JobUnselected: {'identifier': 'ur'}
[0.000248] (-) JobUnselected: {'identifier': 'ur_bringup'}
[0.000256] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.000264] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.000272] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.000280] (-) JobUnselected: {'identifier': 'ur_description'}
[0.000288] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.000296] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.000304] (-) EventReactorShutdown: {}
