[0.000000] (-) TimerEvent: {}
[0.000375] (-) JobUnselected: {'identifier': 'husky_base'}
[0.000401] (-) JobUnselected: {'identifier': 'husky_bringup'}
[0.000410] (-) JobUnselected: {'identifier': 'husky_control'}
[0.000431] (-) JobUnselected: {'identifier': 'husky_description'}
[0.000439] (-) JobUnselected: {'identifier': 'husky_desktop'}
[0.000447] (-) JobUnselected: {'identifier': 'husky_gazebo'}
[0.000455] (-) JobUnselected: {'identifier': 'husky_msgs'}
[0.000465] (-) JobUnselected: {'identifier': 'husky_robot'}
[0.000476] (-) JobUnselected: {'identifier': 'husky_simulator'}
[0.000488] (-) JobUnselected: {'identifier': 'husky_ur3_ignition'}
[0.000498] (-) JobUnselected: {'identifier': 'husky_viz'}
[0.000509] (-) JobUnselected: {'identifier': 'mobile_robotics'}
[0.000517] (-) JobUnselected: {'identifier': 'py_pubsub'}
[0.000524] (-) JobUnselected: {'identifier': 'py_srvcli'}
[0.000532] (-) JobUnselected: {'identifier': 'robotis_manipulator'}
[0.000541] (-) JobUnselected: {'identifier': 'trial_package'}
[0.000553] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.000560] (-) JobUnselected: {'identifier': 'ur'}
[0.000568] (-) JobUnselected: {'identifier': 'ur_bringup'}
[0.000576] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.000586] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.000597] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.000608] (-) JobUnselected: {'identifier': 'ur_description'}
[0.000618] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.000630] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.000950] (-) EventReactorShutdown: {}
