[0.000000] (-) TimerEvent: {}
[0.000113] (-) JobUnselected: {'identifier': 'husky_base'}
[0.000128] (-) JobUnselected: {'identifier': 'husky_bringup'}
[0.000137] (-) JobUnselected: {'identifier': 'husky_control'}
[0.000145] (-) JobUnselected: {'identifier': 'husky_description'}
[0.000153] (-) JobUnselected: {'identifier': 'husky_desktop'}
[0.000161] (-) JobUnselected: {'identifier': 'husky_gazebo'}
[0.000169] (-) JobUnselected: {'identifier': 'husky_msgs'}
[0.000177] (-) JobUnselected: {'identifier': 'husky_robot'}
[0.000184] (-) JobUnselected: {'identifier': 'husky_simulator'}
[0.000191] (-) JobUnselected: {'identifier': 'husky_ur3_ignition'}
[0.000199] (-) JobUnselected: {'identifier': 'husky_viz'}
[0.000206] (-) JobUnselected: {'identifier': 'mobile_robotics'}
[0.000213] (-) JobUnselected: {'identifier': 'py_pubsub'}
[0.000221] (-) JobUnselected: {'identifier': 'py_srvcli'}
[0.000228] (-) JobUnselected: {'identifier': 'robotis_manipulator'}
[0.000235] (-) JobUnselected: {'identifier': 'trial_package'}
[0.000242] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.000249] (-) JobUnselected: {'identifier': 'ur'}
[0.000256] (-) JobUnselected: {'identifier': 'ur_bringup'}
[0.000264] (-) JobUnselected: {'identifier': 'ur_calibration'}
[0.000272] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.000279] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.000286] (-) JobUnselected: {'identifier': 'ur_description'}
[0.000293] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.000301] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.000308] (-) EventReactorShutdown: {}
